;INVENTARIO DE PRODUCTOS;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;CODIGO;NOMBRE;CATEGORIA;FABRICANTE;DESCRIPCIÓN; PRECIO VENTA ; PRECIO COMPRA ; UNIDAD ;STOCK EN ALMACEN;FECHA INGRESO;ENTRADA;SALIDA;STOCK; IMPORTE INVENTARIO ; PROVEEDOR ; Columna1 
;R_0183;Cerradura de Manija Cerrafor Peru;;Cerrafor Peru ;Caja amarilla ;S/ 14.00;;unidad;1;;0;0;1; S/. 14.00 ;;
;R_0184;cerradura For Peru 559B;;For Peru 559B;chapa 2 golpes;S/ 16.00;;;31;;0;0;31; S/. 496.00 ;;
;R_0185;cerradura For Peru TC2373A;;For Peru TC2373A;chapa 3 golpes;S/ 23.00;;;11;;0;0;11; S/. 253.00 ;;
;R_0186;Cerradura Forte Bunker 240N;;Forte Bunker 240N;Chapa 3 gopes ;S/ 75.00;;;4;;0;0;4; S/. 300.00 ;;
;R_0187;Cerradura interior Forte;;Forte;Forte BP-007;S/ 35.00;;unidad;1;;0;0;1; S/. 35.00 ;;
;R_0188;CERROJO SANSON;;CABALLITO;#03 FAMILIAR;;S/ 34.50; DOCENA ;2;4/07/2024;0;0;2; S/. -   ;;
;R_0189;CERROJO SANSON;;;#02 Mediano;;S/ 17.20; DOCENA ;;;0;0;0; S/. -   ;;
;R_0190;CERROJO SANSON;;;#01 BB;;S/ 14.00;DOCENA;;;0;0;0; S/. -   ;;
;R_0191;cerrojo trop 2;;;2;S/ 2.00;S/ 0.60; unidad ;;16/02/2025;6;0;6; S/. 12.00 ;;
;R_0192;cerrojo V trop 1 1/2;;;1.5;;S/ 0.42;;;;0;0;0; S/. -   ;;
